Absolutely!	Absolutely!	0
it is down to the EU.we have no say anymore on any piece of scum coming into the country as long as they have an EU passport	We have no say anymore on any piece of scum coming into the country so long as they have an EU passport	1
My wife showed me a Kibble 's - n - Bits commercial last night wherein a mixed couple was presented as `` normal . ''	My wife showed me a Kibble’s – n – Bits commercial last night in which a mixed couple was presented as “normal.”	1
If they want to fire all these leftist moonbats and replace them with genuine White conservatives , I 'm all for it .	If they want to fire all these leftist moonbats and replacement them with genuine white conservatives, I’m all for it.	1
Let the Apes use their long arms to throw their monkey punches , and let us Whites use wrestling takedowns and submissions .	Let the Apes use their long arms to throw their monkey punches, and let us Whites use wrestling takedowns and submissions.	1
there was this gay negro i was forced to work with on my first job out of high school here in sunny florida .	There was this gay negro I was forced to work with on my first job out of high School here in sunny florida.	1
Imagine the groids licking their big lips when they see all those unsuspecting tourists walking around .	Imagine the groids licking their big lips as they see all those unsuspecting tourists walking around.	1
Their is a group of people behind the scenes orchestrating your destruction and they are using non Whites as tools to accomplish their agenda .	Their is a group of people behind the scenes orchestrating your destruction and they are using non-Whites as tools to accomplish their agenda.	1
It's going to take everyone working together to beat the New World Order .	It will take everyone to work together to beat the New World Order.	1
Good news is that census reports suggest whites are still the least likely to race mix .	The good news is that census reports suggest white people are still the least likely to mix races.	3
We should have a new version of the old Plantation system where every white person on earth makes millions of dollars off of the enslaved labor of all the non-Whites in the world .	We should have a new version of the old Plantation system where every white person on earth makes million dollars off of the enslaved labor of all the non-whites in the world.	1
I just wanted to say hello to The Jew is Evil .	I just wanted to say goodbye to The Jew is Evil.	1
Like I said before I 'd bet 90 % + have Liberal parents .	As I said before I’d bet 90% + have Liberal parents.	1
Jeeze its worst than the UK .	Jeeze is worse than the UK.	3
Geesh , they 'd let a gorilla into UCLA for the sake of `` Diversity '' as long as it got a body wax .	Geesh, they’d let a gorilla into UCLA for the sake of “Diversity” as long as it got a body wax.	1
This is a sickening trend , even in countries like mine where there are not many Negroes they do this and all because of the sickening media brainwashing .	This is a sicking trend, even in countries like mine where there are not many Negroes they do this and all because the sick media brainwashing.	1
We spent too much time and effort worrying about Blacks while the Asians and Hispanics , were the ones carrying the ball .	We spent too much time and effort worrying about blacks while the Asians and Hispanics, were the ones carrying the ball.	1
These idiots are doing this to hasten Armageddon so they can get a free ride to heaven .	These idiots are doing this to hasten Armagedon so they can get a free ride to heaven.	1
Let the non-whites pollute their bodies with that garbage .	Let the non-white pollute their bodies with that garment.	1
The worst thing about the present immigration is that it 's spread all over the country .	The worst thing about the current immigration is that it’s spread all over the country.	1
On a short holiday , Go back and do something about your own country and stop putting crap on our doorstep !	On a short holiday, go back and do something about your own country and stop putting shit on our doorstep!	1
I was really worried about this one because I thought a bunch of groids were going to hop out of the cars signifying the town to get so excited and the women to remove clothing ....	I was really worried about this one because I thought a bunch of groids were going to jump out of the cars meaning the town to get so excited and the women to remove clothes.	1
Deport all Indians back to India and make them pay for the trip .	Deport all Indians back to the country and make them pay for the trip.	1
i hope our patriots will throu eggs at them and will say some thing like get out to the jungle or i think our coach will make them to go to the trainnig at minus - 30C or - 50F that they uuuu will never be able to play agane and will fly to africa after first tranning 2508	I hope our patriots will throw eggs at them and will say something like get out to the jungle or I think our coach will make them go to the trainnig at minus - 30C or - 50F that they will never be able to play agane and will fly to Africa after first tranning 2508	1
Dunnes strikers to attend funeral - BelfastTelegraph.co.uk Lets hope these reds are n't mistaken for the usual white targets of these jungle savages !	Dunnes strikers to attend funeral - BelfastTelegraph.co.uk Let's hope these reds are not mistaken for the usual white targets of these jungle savages!	1
Even the queers in small towns have been emboldened to go out and peddle the homosexual agenda .	Even the queers in small towns have been encouraged to go out and peddle the homosexual agenda.	1
You have to defend yourself with riots happening across the country and invaders flooding across our borders .	You have to defend yourself with riots happening across our country and invaders flooding across the borders.	1
It 's annoying to live in a time where a subhuman monkey coon thinks it 's okay to hit an Aryan white blond , blue-eyed child .	It’s annoying to live in a time when a subhuman monkey coon thinks it’s okay to hit an Arian white blonde, blue-eyed child.	1
That all changes when they have to live around them .	That everything changes when they have to be around them.	3
I always thought it was be fun to put on a minstrel show , a little entertainment showing things how they really are without black/jew/fag involvment . . if it ever gets put together i 'll be sure to tape and and pass it around for all to enjoy	I always thought it would be fun to put on a minstrel show, a little entertainment showing things how they really are without black/jew/fag involvement... if it ever gets put together I’ll be sure to tape and pass it around for all to enjoy	1
But what do you expect with a homosexual Muslim as the mayor ?	But what do you expect from a gay Muslim as mayor?	1
Their stories have been told before , so instead of showing the pics of the non WHITE garbage that took from them , I am just going to post their pics so they will not be forgotten .	Their stories have been told before, so instead of showing the pictures of the non-white garbage that took from them, I’m just going to post their pictures so they won’t be forgotten.	1
Its disgusting they these foreigners come over here , stamp their feet and jump above good Irish families and get what they want .	It’s disgusting that these foreigners come over here, stamp their feet and jump over good Irish families and get what they want.	1
You forgot to add that they spread disease and their poor hygiene causes pest infestations , then there is rampant drug use and sexual assaulting white women and children .	You forgot to add that they spread disease and their poor hygiene causes pest infestations, then there is rampant drug use and sexual assaulting white women and children.	1
I wonder if this guy still thinks the Jews are a good thing after the Jews just tried to start a war between NATO and Russia ?	I wonder if this guy still thinks the Jews are a good deal after the Jeux just tried to start a war between NATO and Russia?	1
Raising 1 healthy , racially aware child is worth more than all the libtard and mud children in the world .	Raising a healthy, racially conscious child is worth more than all the libtard and mud children on earth.	1
Don't eat a Snickers candy bar ... it will turn you into a negro ! ( Also has the obligatory White doofus guy at the end. )	Don’t eat a Snickers candy bar... it will turn you into a negro! (also has the mandatory White doofus guy at the end.)	1
I'm insulted by how stupid the Jews think we are until I see what they see by reading the posts amongst our so-called , `` Awakened Brethren . ''	I am insulted by how stupid the Jews think we are until I see what they see by reading the post among our so-called, “Awakened Brothers.”	1
Hi Im tv free do n't have kids yet reading mending , sewing , menting board games radio study extra curricula actives Good on you for planning a FREE jewv existence	Hi Im tv free do not have kids yet reading redressing, sewing, menting board games radio study extra curricula actives Good on you for planning a FREE jewwv existence	1
.	by	2
In all likelyhood , it 's jews painting the road of skank for her to follow .	In all probability, it's Jews painting the road of skank for her to go.	1
All of our tim hortons are staffed by those nast filipinos and every single town is full of Indians and asians .	All of our tim hortons are staffed by those nasty Filipinos and every single town is full of Indians and Asians.	1
The blacks and browns are detroying sweden and nobody does anything about it ! : madex : madex : madex	The black and brown are detroying Sweden and nobody does anything about it! : madex : madeX : made	1
Jag har inte själv varit med någon gång men jag har stor respekt för de som deltar .	I have not been with any time, but I have great respect for those who participate.	2
Call the jackass and tell him about hundreds of thousands of foreign nationals who have invaded our country and laid seige to our cities on May 1 .	Call the jackass and tell him about hundreds of thousands of foreign nationals that have invaded our country and laid siege to our cities on May 1.	1
Why do n't White Europeans and Americans grow a set of balls , and deport these Black and brown animals from their countries ?	Why don’t white Europeans and Americans grow a set of balls, and deport these black and brown animals from their countries?	1
``Tuleistu minu kõrvale '' ?	“Tuleistu minu kõrval”	2
Separation is the only answer !	Separation Is the Only Answer!	1
TNB !	by TNB! →	3
The whites are who are blamed for let them in their countries .	The white are the ones who are blamed for letting them in their countries.	3
I now only go into the city when i have to and i had to yesterday and I could not belive what has happend in there .I think i must have seen every peice of dirt from every corner of the globe in there it was horrible .	I now only go into the city when I have to and I had to yesterday and I couldn’t believe what has happened there.I think I must have seen every pebble of dirt from every corner of the globe there it was horrible.	1
I dont believe i or anyone living today brought you here or wanted you here .	I don’t believe I or anyone living today brought you here or want you here.	1
Sysselmannen på Svalbard .	The Sysselmannen on Svalbard.	2
its simple , your white. your genetic code doesnt include a racial commitment to crime. be glad and for for those reasons. this is what society has turned into. take a stand and defend your race. we must secure the existence of our people and a future for white children.-david lane white racial loyalty starts here keep it white	your genetic code does not include a racial commitment to crime. be happy and for those reasons. this is what society has turned into. take a stand and defend your race. we must secure the existence of our people and a future for white children.	1
Traitors are pathetic ignorant fools , and negroes are fools because they are starting to literally bite the hands that feed them .	Traitors are pathetic ignorant fools, and Negroes are fools because they are literally starting to bite the hands that feed them.	1
i live near albany but i could hang out with u if u want we could beat upsome unpure infidels if you would like	I live near Albany but I could hang out with you if you want we could beat upsome unpure infidels if you wish	1
Our school systems are nothing more then breeding grounds for the slave system the zionist are determined to create .	Our school systems are nothing more than breeding grounds for the slave system the Zionists are determined to create.	1
White kids need to interact with kneegrows and other non white kids or they 'll be lost in the real come the time they leave home ...	White children need to interact with kneegrows and other non-white children or they’ll be lost in the real come the time they leave home.	1
The rag-heads dont have the numbers to kick off in Ireland yet , but when they do , you will know all about it .	The rag-heads don’t have the numbers to kick off in Ireland yet, but when they do, you’ll know everything about it.	1
Another black is now trying to convince me that black slaves were force-fed animal lard through huge tubes and had their hands and feet cut off so they could work in the cotton fields without running away	Another black is now trying to convince me that black slaves were forcibly fed animal lard through huge tubes and had their hands and feet cut off so they could work in the cottone fields without running away.	1
i live up the block from a muslim mask. every friday they rule the streets. they think that they can walk anywhere they want and if your are white they give you a look just klike when you pass through a black neighborhood. they are the same as them nigs	Every Friday they rule the streets. they think they can walk wherever they want and if yours are white they give you a look just click when you pass through a black neighborhood. they are the same as them nigs	1
i use it as way to intimidae jew to show them that there are still people who are aginst them it did originate in Roman it was called the wariors salute	I use it as a way to intimidae Jew to show them that there are still people who are aginst them it did originate in Romans it was called the wariors salut	1
I'm glad to hear about my brothers being ready to fight like that , lets just hope in the future these immigrants with no right will get something good enough so they 'll finally leave	I’m glad to hear about my brothers being ready to fight like that, let only hope in the future these immigrants with no right will get something good enough so they’ll finally leave.	1
Im surprised C18 wasnt mentioned , they always are when the OB smash the EVIL neo = nazis Yellow press at its best	Im surprised C18 wasnt mentioned, they always are when the OB smashes the EVIL neo = nazis Yellow press at its best.	1
Hey guys please go here to help us send the Mexicans back to Mexico .	Hey guys please come here to help us send the Mexicans home.	1
The link in my sig lne `` Christian Identity and Identifying the jew '' explains this	The link in my signe lne "Christian Identity and Identifying the Jew" explains this.	1
We can work together and look after each other which blacks cant. We can think as individuals and do things because they are right and not because we are told to , which asians cant.	We can think as individuals and do things because they are right and not because we are told to, which Asians cant.	1
I was escorted from the camp/jail by 2 polish policeman as denying/questioning the hoax-acuast is illegal .	I was escorted from the camp/ jail by 2 Polish policemen as denying/questioning the hoax-acuast is illegal.	1
Deanna Spingola and Dr. Lorraine Day - Zionism , the Holocaust , Aids and Vaccines YouTube - Deanna Spingola and Dr. Lorraine Day - Zionism , the Holocaust , Aids and Vaccines Listen/watch the full interview @ Deanna Spingola and Dr. Lorraine Day - Zionism , the Holocaust , Aids and Vaccines : Free Download & Streaming : Internet Archive www.DrDay.com www.GoodNewsAboutGod.com	Deanna Spingola and Dr. Lorraine Day - Zionism, the Holocaust, AIDS and Vaccines YouTube - Deanna spingola & Dr. lorraine day - ZIONISM, the holocaust, AIDS & Vaccins Listen/watch the full interview @ Deanna SPINGOLA and Dr Lorraines day - SIONISME, the HOLOCAUST, AIDS &VACINES : Free Download & Streaming : Internet Archive www.DrDay.com www.GoodNewsAboutGod.com	1
Breaks the heart ...	Breaking the Heart...	3
The have no concept of honour or of having respect for the feelings of others .	They have no concept of honor or of having respect for the feelings of other people.	1
Lying Marxists !	The Marxists are lying!	1
I do n't know if the person that said that ever leaves the house , but all I ever see are black guys and Mexicans everywhere .	I don’t know if the person who said that ever leaves the house, but all I ever see are black guys and Mexicans everywhere.	1
It 's usually not consensual .	It is usually not consensus.	3
Though I have had problems at one or two that were groid infested elsewhere getting stale bread etc so will no go to any that have lotsof groids working in them .	Although I have had problems at one or two that were groid infested elsewhere getting stale breads etc so will not go to any who have lotsof groids working in them.	1
http://news.bbc.co.uk/2/hi/africa/6217719.stm There you have it folks , Nigeria is acting like one big ghetto queen squeezing out more baby negroes for a bigger handout from the government .	http://news.bbc.co.uk/2/hi/africa/6217719.stm There you have it people, Nigeria is acting like one big ghetto queen squeezing out more baby negres for a bigger handout from the government.	1
Pornography and prostitution should be outlawed as the jewish filth that it is . _ _ _ _ _ _ _ _ _ nazi.org.uk	Pornography and prostitution should be outlawed as the Jewish dirt that it is. _ _ _	1
So please Zuma be a good little kaffir and take their land	So please Zuma be a nice little kaffir and take their lands	1
We do not want `` assimilation '' .	We do not want “assimilation.”	1
Nevermind, found the new page Knew it had to be a groid .... any report of rape ?	Nevermind, found the new page Knew it must be a groid... any report of rape?	1
The majority of them are as stupid as real Negroes .	Most of them are as stupid as true Negroes.	1
How on earth can they be Swedes when they are the result of race treason ?	How on earth can they be Swedes if they are the result of racial betrayal?	1
There's something so gross and such an assault on the senses as the sound of an European romance language coming from the mouths of savages ! . .	There is something so gross and such an assault on the senses as the sound of a European romantic language coming from the mouths of the savages.	1
Because the communist party was almost all jew out to kill any gentile that stood in their way or had property that the jew - communist wanted .	Because the Communist Party was almost all Jew out to kill any Gentile who stood in their way or had property that the Jewish-Communist wanted.	1
Typical i suppose in the eyes of the law he is just another tourist beaten on sydneys streets oh yeah and we all know if it was a poor black fella bashed it would be on the news for weeks on end and mr whitey would be branded a big bad evil racist	Typical I suppose in the eyes of the law he is just another tourist beaten on Sydney’s streets oh yeah and we all know if it was a poor black fella bashed it would be on the news for weeks at the end and Mr. Whitey would be branded a big bad evil racist	1
These feral negroes stalk white women , rape and kill and , no one seems willing to stop them .	These wild Negroes stalk white women, rape and kill and, no one seems willing to stop them.	1
I could n't imagine living in those conditions with drugs and filthy negros everywhere .	I couldn’t imagine living in those conditions with drugs and dirty blacks everywhere.	1
The Indian teenager was showing the Caucasian American girl how to dissolve cow dung in water , and then use a broom to spread the filth all over the floor of their house .	The Indian teenager was showing the Caucasian American girl how to dissolve cow dung into water, and then use a slurry to spread the dirt all over the floor of their house.	3
A public execution for these animals would go a LONG way to point to justice being done ; it would never bring the girl back ; but I guarantee it would send a message ............................	A public execution for these animals would go a LONG way to point to justice being done; it would never bring the girl back; but I guarantee it would send a message........................................................	1
that is the sadest news i have ever heard in my entire life , ireland not a white country. its like saying the world is ending	That’s the saddest news I’ve ever heard in my whole life, Ireland not a white country.	1
Every f * cking school child knows that the Globe is round , only total PIZDAS do n't .	Every school child knows that the Globe is round, only total PIZDAS do not.	1
SEX: MALE RACE : BLACK D.O.B : 08-24-1950 HEIGHT : 5 ' 11 WEIGHT : 180 EYE : BROWN HAIR BLACK In Custody For : 001 MISDEMEANOR COUNT OF CRIMINAL TRESPASS 2ND DEG This dude looks like an olde version of Cornielious from `` Planet of the Apes '' !	SEX: MALE RACE : BLACK D.O.B : 08-24-1950 HEIGHT : 5'11 WEIGHTE : 180 EYE : BRONN HAIR BLACK IN CUSTODY For : 001 MISDEMEANOR COUNT OF CRIMINAL TRESPASS 2ND DEG This guy looks like an old version of Cornielious from "Planet of the Apes"!	1
God knows what would come out of Africa if only blacks could come up with investigative journalism .	God knows what would come out of Africa if only black people could come up with investigative journalism.	1
Pakis asians and even jungle bunnies come in and * * * * starts getting weird .	Pakis Asians and even jungle rabbits come in and * * ** begins to get weird.	1
The indians and stanis will just spit all over the street .	The Indians and Stanis will just spit all over street.	1
He allowed his wife to bring a black male into his home and he had a daughter ?	He allowed his wife to bring a black man into his home and he had a daughter.	3
Damn I was so looking forward to using a sharp rock tied to a stick but ok I promise I wont use any of your wondrous inventions if you stop using everything my race invented .	Damn I was so looking forward to using a sharp rock tied to a stick but ok I promis I won’t use any of your wondrous inventions if you stop using everything my race invented.	3
Islam is a false religion however unlike some other false religions it is crude and appeals to crude people such as arabs .	Islam is a false religion but unlike some other false religions it is crude and appeals for crude people such as Arabs.	1
Then , we can look forward to cases of Multi-Drug Resistant ( MDR ) and Extensively Drug Resistant ( XDR ) TB to become common diseases .	Then, we can look forward to cases of Multi-Drug Resistant (MDR) and Extensively Drug Resisting (XDR) TB to become common diseases.	3
They laugh at whites who obey the law , bother to get married , women who are chaste .	They laugh at white people who obey the law, bother to get married, women who are chaste.	1
All of the security guards i see are white but maybe , just maybe , i 'm blessed because no doubt these negro security guards abuse their power .	All the security guards I see are white but maybe, just maybe, I’m blessed because no doubt these negro security guard abuse their power.	1
Do n't come down too hard and alienate him , just keep a light hearted attitude and let him know that you find his actions disgusting .	Don’t come down too hard and alienate him, just keep a light hearted attitude and let him know that you find his actions repugnant.	1
Its simple , they want to create white guilt , .	Its simple, they want to create white guilty,	1
The jew is attempting to make the condemned beg for the noose .	The Jew is trying to make the condemned beg for the nuts.	1
It made me sick looking at all the Blacks and Asians .	It made me sick looking on all the blacks and Asians.	1
I was basically a babysitter , and the apes went nuts , and frankly , I could not control them and had to press the panic button twice to get someone to help me .	I was basically a babysitter, and the monkeys went nuts, and frankly, I couldn’t control them and had to press the panic button twice to get someone to help me.	1
There are things we can do to stop the rapes that occur when blacks and other non whites con white women and girls into getting in cars with them etc For a start teach our women to respect themselves .	There are things we can do to stop the rape that occurs when blacks and other non-whites con white women and girls into getting in cars with them etc. For a start teach our women to respect themselves.	1
Have you noticed when white 's beat on blacks they usually end it with one punch and then leave the ape alone .	Have you noticed when white’s beat on blacks they usually end it with one punch, and then leave the monkey alone.	1
With Black girls it takes a baseball bat - who carries a mu-ff' in baseball bat on a date ??	With black girls it takes a baseball bat – who carries a mu-ff’ in basebalt bat on a date?	1
Look at this cultural incongruity from Plymouth . VIDEO : Plymouth celebrates St George 's Day with music and dancing in the streets | This is Plymouth	Watch this cultural incongruity from Plymouth. VIDEO : Plymauth celebrates St George's Day with music and dancing in the streets.	1
They should make all know about this book his friends as that they know like are the things , we need that all the whites know like they are the things and the Jewish threat and negroid on our race .	They should make all know about this book his friends as that they know like are the things, we need that all the whites know as they are the stuff and the Jewish threat and negroid on our race.	1
Major chimp-out at hip hop awards .	Major chimp- out at hip hop awards.	1
I think the only connection homosexuality has to Christianity , in this country , is the large proportion of paedophiles being representatives of Christian churches .	I think the only connection homosexuality has to Christianity, in this country, is the large proportion of pedophiles being representatives of Christian churches.	1
God forbid anyone should promote straight racially loyal hetrosexuality Diablo	God forbid anyone should promote straight racally loyal heterosexuality	1
Im living in Burnaby , all i see is Chinamen everywhere ... what happened to the great colony built by the British Empire ?	In living in Burnaby, all I see is Chinese everywhere...what happened to the great colony built by the British Empire?	1
Is n't that terrible ?	Isn’t that terrible?	3
i have been talking about it for years. the filthy muslims putting their sight on africa. in some ways they are worst then blacks .	I have been talking about it for years. the dirty Muslims putting their sight on Africa. in some ways they are worst then blacks.	1
White + Asian DOES NOT make white babies .	White + Asian DO NOT make white babies.	1
The jews represent everything vile , deviant and unnatural , everything and anything that is an abomination to our Lord Jesus Christ , I hope he is burning with his father in hell .	The Jews represent everything vile, deviant and unnatural, everything and anything that is an abomination to our Lord Jesus Christ, I hope he is burning with his father in hell.	1
When I am around young people and rap music or negro culture comes up I make gestures implying the savagery of blacks .	When I am around young people and rap music or negro culture comes out I make gestures implying the savagery of blacks.	1
Your history teacher has to do what the zionist butt heads want them to do .	Your history teacher has to do what the Zionist butt heads want them to do.	1
The anti-whites have been using education for decades to brainwash Whites against their own race .	The anti-whites have been using education for years to brainwash white against their own race.	1
if its such a big deal that you need to talk about it , yes. you are a non-white. you might as well be fully mongol .	If it’s such a big deal that you need to talk about it, yes. you’re a non-white. you might also be fully Mongol.	1
I stumbled n this by accident Absolute savages and yet you will have all the liberal women saying how great multiculturalism is and we are all the same Le TÃ © lÃ © gramme - France - Montpellier ( 34 ) .	I stumbled upon this by accident Absolute savages and yet you will have all the liberal women saying how great multiculturalism is and we are the same Le TÃ © lÃ © gramme - France - Montpellier (34).	1
I heard from friends in Boston this is true.Blacks will attack an Irish America with a shamrock tattoo.How long before this happens in Ireland ?	I heard from friends in Boston this is true.Blacks will attack a Irish America with a shamrock tattoo.How long before this happens in Ireland?	1
i SEE UTV DID NOT POST MY COMMENTS TYPICAL SPREAD THE WORD THROUGHOUT IRELAND RUN THESE INVADERS OUT GO HOME AFGANIES WOULD YOU SEE US DOING THIS IN YOUR COUNTRY ??????????????????????????????????????????? ??	I SEE UTV DID NOT POST MY COMMENTS TYPICAL SPREAD THE WORD THROUGH IRELAND RUN THESE INVADERS OUT GO HOME AFGANISES WOULD YOU SEE WE DOING THIS IN YOUR COUNTRY?????????????????????????????????????????????????	1
This guy seems to get it but otherwise : Sorry jigs , you 're on your own	This guy seems to get it but otherwise: Sorry jigs, you're on your own	1
Yeah, after losing peanut butter as their claim to fame , they 'll have to fall back on the Super Soaker .	Yeah, after losing peanut butter as their claim for fame, they’ll have to fall back on the Super Soaker.	1
I know how you feel BreakTheSilence luckily this is your last year in school and it is almost over otherwise I would say you should look into independent study where you do not have to put up with all the filth that is in the public education system .	I know how you feel, fortunately this is your last year in school and it is almost over otherwise I would say you should look into independent study where you don’t have to put up with all the dirt that is in the public education system.	1
Glædelig jul !	Happy Christmas to you!	2
They are culturally raping european countries in every way .	They are culturally raped European countries in every way.	1
We have already taken too much that we do n't need any of those people on our soil .	We have already taken too much that we do not need any of those people on our soil.	1
They preach diversity at their professor jobs and government jobs and it makes those White Liberal Neighborhoods and gated communities TOO white and in need of some `` Black flavor '' at home the joy of diversity right in their White daughter 's bedroom !	They preach diversity at their professor jobs and government jobs and it makes those White Liberal Neighborhoods and gated communities too white and in need of some “Black flavor” at home the joy of diversity right in their White daughter’s bedroom!	1
There are places where you can walk around all day and not see a single white face .	There are places where you can walk around the whole day and not see a single white face.	3
Both Asians and whites are composed and calm and blacks seem to have no self control .	Both Asians and whites are composed, calm and black seem to have no self-control.	1
Everyone in Ireland has a duty to make life as difficult for blacks as possible if our children are too have any kind of future .	Everyone in Ireland has a duty to make life as difficult as possible for blacks if our children are too having any kind of future.	1
Only in the mind of the INTERNATIONAL JEW could such an evil machination , with its ticker tape parade of lies , be cooked up !	Only in the mind of the INTERNATIONAL JEW could such a evil machination, with its ticker tape parade of lies, be cooked up!	1
I could never picture the site of one of the women of the Holy Rus shacking up with some Islamic mud from that fithy , impoverished , and godforsaken mountainous * * * * hole !	I could never imagine the site of one of the women of the Holy Rus shaving up with some Islamic mud from that fithy, impoverished, and godforsaken mountainous hole!	1
Jews are not only insane , they are of literal demonic DNA .	Jews are not only insane, they are of literal demonic DNA.	1
well im glad to hear there are more youth in our world and lets all hope those mudds and niggs go to h-e-l-l	well im glad to hear there are more youth in our world and let all hope those mudds and niggs go to h-e-l-L	1
The worst thing about this is that every single one of our beautiful cities in ALL of our countries now look like this .	The worst thing about this is that every single one of the beautiful cities in ALL of our countries now look like this.	1
No doubt the bulk of her votes came from the ever growing chinese immigrant community around Belfast .	No doubt the majority of her votes came from the ever-growing Chinese immigrant community around Belfast.	3
OSLO TURNING INTO A MAJOR CRIMINAL MUSLIM MECCA	Oslo becomes a major criminal Muslim Mecca	1
It is a total disgrace when tax-payer dollars can go to promoting such degenerate filth .	It is a total disgrace when taxpayer dollars can go to promote such degenerate dirt.	1
How can the Jews be the same as God 's people when they are tring to kill them ?	How can the Jews be the same as God’s people when they are trying to kill them?	1
They are both cultural threats	Both are cultural threats.	1
I hope all their farms burn down and their nappy headed children squandle in the flames .	I hope all their farms burn down and their puppy-headed children squander in the flames.	1
All you liberals care about is `` Diversity . ''	All you liberal people care about is “Diversity.”	1
Yep the bottom line is without a strong family behind her a young girl is very vulnerable .. The Jew knows this and Glamorises the Negro using its media power , here we see the results .	Yes the bottom line is without a strong family behind her a young girl is very vulnerable.. The Jew knows that and glamors the Negro using its media power, here we see the results.	1
Typical Negro .	Typically black.	1
You are the loyal punk to dead men that would underbid your labor with slaves of the negro race .	You are the loyal punk to dead men who would undermine your labor with slaves of the negro race.	1
I am White and I believe all White people know the difference between right and wrong no matter what they say about their political positions.We are facing genocide as a people and the infighting is just loved by non Whites .	I am White and I believe all White people know the difference between right and wrong no matter what they say about their political position.We are facing genocide as a people and the infighting is just loved by non-Whites.	1
Something must be done to halt this terrible wave of immigrants entering Britain .	Something must be done to stop this terrible wave of immigrants entrance to Britain.	1
There were 2 good things about Yugoslavia .	There were two good things about Yugoslavian.	3
Too many libtards , I would n't waste my time there .	Too many libtards, I’t waste my time there.	1
I was so shocked to see all those blacks when i moved to Holland : S	I was so shocked to see all these blacks when I moved to Holland :S	1
It is the Asians in White countries that bug me .	It is the Asians of the White countries that bug me.	1
Well I wonder if its started messing with the daughter yet .	I wonder if it has started messing up with the daughter yet.	1
Does it surprise you that those White hating non-whites still want to live in White countries made GREAT by White people and brought low by non-whites ?	Is it surprising that those White hating non-whites still want to live in White countries made GROW by White people and brought low by non-Whites?	1
Then we will create a Marxist style school system to further dumb them down and reduce them to obedient global citizens .	Then we will create a Marxist-style school system to further demean them and reduce them to obedient global citizens.	1
I hear the jews are looking to open a Holohoax center in Antarctica next year .	I hear the Jews are looking to open a Holohoax center on Antarctica next year.	1
ZOG is getting rid of every White-dominated area in the world .	ZOG is getting rid of every white-dominated area in the world.	1
As a nation , we are in desperate need for an immigration time out and a zero tolerance policy for those here illegally .	As a nation, we are in desperate need for an immigration time out and a Zero Tolerance policy for those here illegally.	1
Keep Russia free from dark skinned beings !!!! thank you and please forgive me for mistakes .	Keep Russia free from dark skinned beings!!! thank you and please forgive me for mistakes.	1
Yes, I hope and pray that my country will stay clean as long as possible .	Yes, I hope and pray that our country will stay clean as long as possible.	3
YouTube - Broadcast Yourself .	YouTube – Broadcast Your.	2
They sound so naive , when will they learn that these people do not want to intergrate just accumulate .	They sound so naive, when will they learn that these people don’t want to integrate just accumulate.	1
50 shades of brown	50 Shades of Brown	1
Their identity is the Liberal Tribe , and they seek out and morally support other members of their tribe .	Their identity is the Liberal Tribe, and they seek out and morally support other members of their tribes.	1
Got to laugh at how he is saying about how forward thinking and how much egyptians love democracy when they are about to hand power to a bunch of hard line Islamic fundamentalists who are more backward and worse than the last mob you Could n't make it up	I have to laugh at how he is saying about how forward thinking and how much Egyptians love democracy when they are about to hand over power to a bunch of hardline Islamic fundamentalists who are more backward and worse than the last mob you could not make it up.	1
Your White and went to an all black school and had no problem ?	Your White and went to a all black school and had no problem?	3
Blacks seem to be hell bent on embarrassing themselves and acting like animals everywhere they go .. this is pretty typical behaviour ..	Blacks seem to be hell-bent on embarrassing themselves and acting like animals everywhere they go... this is pretty typical behavior.	1
I wish they 'd all bugger off back to the Sudan , Nigeria , Ethiopia or where ever the hell it is they 're from and never come back .	I wish they’d all bugger off back to Sudan, Nigeria, Ethiopia or where ever the hell it’s they’re from and never come back.	1
I am not Ukrainian but the Ukraine nationalists and right wing should understand that our white race in all nations in Europe North America Australia and South Africa along with any other white nations should support each other and join together against the Marxist multiculturistic agenda that 's invading every white nation and start to over through the powers to be that is responsible for this genocide and start considering deportation of non whites in white nations !	I am not Ukrainian but the Ukrainian nationalists and right wing should understand that our white race in all nations in Europe North America Australia and South Africa along with any other white nations should support each other and unite against the Marxist multiculturalist agenda that is invading every white nation and start to overthrough powers to be that is responsible for this genocide and start considering deportation of non-white in white nation!	1
Just watch them at North America and they like all black sport players and their `` slang '' .	Just watch them in North America and they like all black sports players and their “slang”.	1
We're letting these creatures flow openly through our air and sea ports and not performing so much as a background test on them .	We are letting these creatures flow openly through our air and sea ports, and not performing as much as a background test on them.	1
To all white patriots , watch ENDGAME ALEX JONES , OR ENDGAME from PRISON PLANET , and learn the agenda from the criminals Jewish bankers .	To all white patriots, watch ENDGAME ALEX JONES, OR ENDGRAME from PRISON PLANET, and learn the agenda from the criminal Jewish bankers.	1
Freundschaft - Sleipnir & Nemesis with/mit English and/und Deutsch Lyrics - YouTube	Freundschaft - Sleipnir & Nemesis With/mit English and/and Deutsch Lyrics - YouTube	2
YouTube - Broadcast Yourself .	YouTube – Broadcast Your.	2
And the only person to stop and check if the old man was alright was what looks like the only white on the station .	And the only person to stop and check if the old man is okay was who looks like the only white on the station.	3
Why should we try to civilize that which cannot be domesticated or civil ?	Why should we try to civilize what cannot be domesticated or civilised?	1
